sku,name,category,starter_kit_qty,added_qty,removed_qty,total_qty,purpose,source
REV-31-1557,REV Color Sensor V3,,0,1,0,1,Element sensor in the chute wall: classifies POLLEN / NECTAR and detects presence,REV Robotics
1117-0040-0352,"Clear Polycarbonate Grid Plate (1.5mm Thickness, 5 x 44 Hole, 40 x 352mm)",Structure,8,0,0,8,,gobilda.com
1117-0088-0352,"Clear Polycarbonate Grid Plate (1.5mm Thickness, 11 x 44 Hole, 88 x 352mm)",Structure,3,0,0,3,,gobilda.com
1120-0001-0048,"1120 Series U-Channel (1 Hole, 48mm Length)",Structure,2,0,0,2,,gobilda.com
1120-0002-0072,"1120 Series U-Channel (2 Hole, 72mm Length)",Structure,1,0,0,1,,gobilda.com
1120-0008-0216,"1120 Series U-Channel (8 Hole, 216mm Length)",Structure,1,0,0,1,,gobilda.com
1120-0010-0264,"1120 Series U-Channel (10 Hole, 264mm Length)",Structure,2,0,0,2,,gobilda.com
1120-0015-0384,"1120 Series U-Channel (15 Hole, 384mm Length)",Structure,2,0,0,2,,gobilda.com
1121-0001-0048,"1121 Series Low-Side U-Channel (1 Hole, 48mm Length)",Structure,2,0,0,2,,gobilda.com
1121-0005-0144,"1121 Series Low-Side U-Channel (5 Hole, 144mm Length)",Structure,2,0,1,1,removed: replaced by 1121-0007-0192,gobilda.com
1121-0010-0264,"1121 Series Low-Side U-Channel (10 Hole, 264mm Length)",Structure,2,0,0,2,,gobilda.com
1143-0003-0096,"1143 Series Mini Low-Side U-Channel (3 Hole, 96mm Length)",Structure,2,0,0,2,,gobilda.com
1201-0043-0002,1201 Series Quad Block Pattern Mount (43-2),Structure,8,0,0,8,,gobilda.com
1205-0001-0005,1205 Series Dual Block Mount (1-5) - 2 Pack,Structure,6,0,0,6,,gobilda.com
1209-0001-0001,Battery Mount for 12V NiMH Nested Battery,Structure,1,0,0,1,,gobilda.com
1222-0001-0001,1222 Series Flat Pattern Mount (1-1),Structure,2,0,0,2,,gobilda.com
1309-0016-4008,1309 Series Sonic Hub (8mm REX® Bore),Motion,3,0,0,3,,gobilda.com
1310-0016-4008,1310 Series Hyper Hub (8mm REX® Bore),Motion,1,0,0,1,,gobilda.com
1501-0006-0430,"1501 Series M4 x 0.7mm Standoff (6mm OD, 43mm Length) - 4 Pack",Structure,3,0,0,3,,gobilda.com
1502-0006-0110,"1502 Series 4mm ID Spacer (6mm OD, 11mm Length) - 4 Pack",Structure,4,0,0,4,,gobilda.com
1516-4008-0240,"1516 Series 8mm REX® Standoff (M4 x 0.7mm Threads, 24mm Length) - 4 Pack",Structure,1,0,0,1,,gobilda.com
1516-4008-0430,"1516 Series 8mm REX® Standoff (M4 x 0.7mm Threads, 43mm Length) - 4 Pack",Structure,2,0,0,2,,gobilda.com
1522-0010-0090,"1522 Series 8mm ID Spacer (10mm OD, 9mm Length) - 4 Pack",Structure,3,0,0,3,,gobilda.com
1522-0010-0120,"1522 Series 8mm ID Spacer (10mm OD, 12mm Length) - 4 Pack",Structure,8,0,0,8,,gobilda.com
1611-0514-0006,"1611 Series Flanged Ball Bearing (6mm ID x 14mm OD, 5mm Thickness) - 2 Pack",Motion,4,0,0,4,,gobilda.com
1611-0514-0008,"1611 Series Flanged Ball Bearing (8mm ID x 14mm OD, 5mm Thickness) - 2 Pack",Motion,4,0,0,4,,gobilda.com
1611-0514-4008,"1611 Series Flanged Ball Bearing (8mm REX® ID x 14mm OD, 5mm Thickness) - 2 Pack",Motion,6,0,0,6,,gobilda.com
2000-0025-0003,"2000 Series Dual Mode Servo (25-3, Speed)",Actuators,2,0,0,2,,gobilda.com
2106-4008-0800,"8mm REX® Shaft with E-Clip (Stainless Steel, 80mm Length)",Motion,2,0,0,2,,gobilda.com
2106-4008-2400,"8mm REX® Shaft with E-Clip (Stainless Steel, 240mm Length)",Motion,1,0,0,1,,gobilda.com
2106-4008-2640,"8mm REX® Shaft with E-Clip (Stainless Steel, 264mm Length)",Motion,1,0,0,1,,gobilda.com
2110-0608-0002,Shouldered 8mm REX® Hub-Shaft (20mm Hub Offset),Motion,4,0,0,4,,gobilda.com
2302-0014-0100,"2302 Series Aluminum, MOD 0.8, Hub Mount Gear (14mm Bore, 100 Tooth)",Motion,1,0,0,1,,gobilda.com
2303-4008-0020,"2303 Series Steel, MOD 0.8 Pinion Gear (8mm REX® Bore, 20 Tooth)",Motion,1,0,0,1,,gobilda.com
2320-4008-0024,"Clamping Steel Miter Gear (8mm REX® Bore, 24 Tooth, MOD 1)",Motion,8,0,0,8,,gobilda.com
2800-0004-0006,M4 x 0.7mm Zinc-Plated Socket Head Screw (6mm Length) - 25 Pack,Fasteners,8,0,0,8,,gobilda.com
2800-0004-0008,M4 x 0.7mm Zinc-Plated Socket Head Screw (8mm Length) - 25 Pack,Fasteners,20,0,0,20,,gobilda.com
2800-0004-0010,M4 x 0.7mm Zinc-Plated Socket Head Screw (10mm Length) - 25 Pack,Fasteners,75,0,0,75,,inferred
2800-0004-0020,M4 x 0.7mm Zinc-Plated Socket Head Screw (20mm Length) - 25 Pack,Fasteners,4,0,0,4,,gobilda.com
2801-0004-0008,2801 Series Zinc-Plated Steel Washer (4mm ID x 8mm OD),Fasteners,30,0,0,30,,inferred
2807-0609-0250,"2807 Series Stainless Steel Shim (6mm ID x 9mm OD, 0.25mm Thickness) - 12 Pack",Fasteners,4,0,0,4,,gobilda.com
2807-0811-0500,"2807 Series Stainless Steel Shim (8mm ID x 11mm OD, 0.50mm Thickness) - 12 Pack",Fasteners,4,0,0,4,,gobilda.com
2822-0004-0010,Premium M4 Socket Head Thread-Locking Screw (10mm Length) - 25 Pack,Fasteners,44,0,0,44,,gobilda.com
2909-0102-0250,goBILDA® Hook & Loop Cinch-Strap (20mm Width x 250mm Length) - 4 Pack,Fasteners,1,0,0,1,,gobilda.com
2920-0001-4008,2920 Series Steel Set-Screw Collar (8mm REX® Bore) - 2 Pack,Motion,4,0,0,4,,gobilda.com
3100-0012-0020,"12V NiMH Nested Battery (3000mAh, MH-FC XT30 Connector)",Electronics,1,0,0,1,,gobilda.com
3613-0014-0072,"GripForce Gecko™ Wheel (14mm Bore, 72mm Diameter, 30A Durometer)",Wheels,2,0,0,2,,gobilda.com
3613-4008-0048,"GripForce Gecko™ Wheel (8mm REX® Bore, 48mm Diameter, 30A Durometer)",Wheels,7,0,0,7,,gobilda.com
3618-4008-0016,"Intake Roller Wheel (8mm REX®, 16mm Diameter, 16mm Width, 30A Durometer) - 8 Pack",Wheels,16,0,0,16,,gobilda.com
3625-0202-0104,"GripForce™ Mecanum Wheel Set (Ø104mm, 40A Durometer Rollers)",Wheels,1,0,0,1,,gobilda.com
3626-0014-0096,"Hogback Traction Wheel (96mm Diameter, 50A Durometer)",Wheels,1,0,0,1,,gobilda.com
5203-2402-0019,"5203 Series Yellow Jacket Planetary Gear Motor (19.2:1 Ratio, 24mm Length 8mm REX® Shaft, 312 RPM, 3.3 - 5V Encoder)",Actuators,5,0,0,5,,gobilda.com
5203-2402-0051,"5203 Series Yellow Jacket Planetary Gear Motor (50.9:1 Ratio, 24mm Length 8mm REX® Shaft, 117 RPM, 3.3 - 5V Encoder)",Actuators,1,0,0,1,,gobilda.com
